"order_id","ordered_at","customer_id","country","status","amount_cents"
1,2026-01-01 00:00:43.000Z,712643,"DE","paid",379
2,2026-01-01 00:01:53.000Z,439136,"DE","paid",2399
3,2026-01-01 00:03:59.000Z,236185,"UK","paid",8333
4,2026-01-01 00:05:17.000Z,626526,"US","paid",1566
5,2026-01-01 00:07:27.000Z,635199,"SE","paid",7249
6,2026-01-01 00:08:29.000Z,700684,"UK","paid",7701
7,2026-01-01 00:10:31.000Z,609269,"US","paid",540
8,2026-01-01 00:11:57.000Z,482058,"DE","cancelled",129
9,2026-01-01 00:13:03.000Z,248507,"US","paid",681
10,2026-01-01 00:14:57.000Z,241144,"FR","paid",5283
11,2026-01-01 00:16:55.000Z,984625,"US","paid",5389
12,2026-01-01 00:18:37.000Z,303030,"SE","paid",5713
13,2026-01-01 00:20:15.000Z,303031,"SE","paid",7752
14,2026-01-01 00:21:57.000Z,599076,"UK","paid",7922
15,2026-01-01 00:22:47.000Z,598669,"UK","paid",9118
16,2026-01-01 00:24:53.000Z,964578,"PL","paid",2800
17,2026-01-01 00:26:15.000Z,978003,"US","paid",8648
18,2026-01-01 00:28:05.000Z,723856,"UK","paid",2595
19,2026-01-01 00:30:03.000Z,409897,"UK","paid",2847
20,2026-01-01 00:31:37.000Z,185134,"UK","paid",1752
21,2026-01-01 00:32:59.000Z,747919,"UK","paid",9339
22,2026-01-01 00:34:53.000Z,652956,"SE","paid",8851
23,2026-01-01 00:36:19.000Z,392485,"PL","refunded",4077
24,2026-01-01 00:37:33.000Z,546362,"UK","paid",1221
25,2026-01-01 00:39:15.000Z,185227,"PL","paid",2706
26,2026-01-01 00:40:25.000Z,409960,"UK","paid",2114
27,2026-01-01 00:42:43.000Z,975681,"PL","paid",6938
28,2026-01-01 00:44:09.000Z,359590,"DE","paid",3445
29,2026-01-01 00:46:03.000Z,595527,"UK","paid",6844
30,2026-01-01 00:47:45.000Z,955412,"US","paid",9166
31,2026-01-01 00:49:27.000Z,690877,"FR","paid",3828
32,2026-01-01 00:50:41.000Z,428594,"FR","paid",6147
33,2026-01-01 00:52:27.000Z,418403,"PL","paid",2350
34,2026-01-01 00:54:01.000Z,460640,"PL","paid",9694
35,2026-01-01 00:55:15.000Z,253977,"FR","paid",8413
36,2026-01-01 00:56:45.000Z,186590,"SE","paid",2694
37,2026-01-01 00:58:39.000Z,281407,"UK","paid",6430
38,2026-01-01 01:00:09.000Z,438540,"DE","paid",8092
39,2026-01-01 01:02:15.000Z,581429,"SE","paid",725
40,2026-01-01 01:03:33.000Z,893770,"PL","paid",9105
41,2026-01-01 01:05:03.000Z,596283,"SE","paid",841
42,2026-01-01 01:06:29.000Z,266872,"US","paid",140
43,2026-01-01 01:08:27.000Z,343633,"SE","paid",1108
44,2026-01-01 01:09:45.000Z,467574,"UK","paid",8490
45,2026-01-01 01:11:11.000Z,992503,"UK","paid",1010
46,2026-01-01 01:13:37.000Z,519812,"UK","paid",2812
47,2026-01-01 01:14:39.000Z,414477,"DE","paid",1934
48,2026-01-01 01:16:21.000Z,770402,"UK","paid",3116
49,2026-01-01 01:17:43.000Z,128147,"SE","paid",1910
50,2026-01-01 01:19:29.000Z,130736,"FR","paid",5083
51,2026-01-01 01:21:47.000Z,498697,"DE","paid",562
52,2026-01-01 01:23:25.000Z,772238,"DE","paid",1557
53,2026-01-01 01:24:43.000Z,800239,"UK","paid",7179
54,2026-01-01 01:25:49.000Z,749148,"UK","paid",1796
55,2026-01-01 01:27:31.000Z,341093,"UK","paid",7237
56,2026-01-01 01:29:53.000Z,869498,"FR","paid",3678
57,2026-01-01 01:30:39.000Z,516587,"UK","paid",8658
58,2026-01-01 01:32:37.000Z,132968,"UK","paid",5989
59,2026-01-01 01:34:19.000Z,676033,"UK","paid",810
60,2026-01-01 01:35:57.000Z,486374,"PL","refunded",9299
61,2026-01-01 01:37:51.000Z,331111,"UK","refunded",8562
62,2026-01-01 01:38:57.000Z,268020,"SE","paid",9525
63,2026-01-01 01:40:47.000Z,897373,"US","paid",2560
64,2026-01-01 01:42:41.000Z,445650,"US","paid",6893
65,2026-01-01 01:43:59.000Z,173891,"UK","paid",7564
66,2026-01-01 01:45:13.000Z,145248,"UK","paid",7288
67,2026-01-01 01:47:15.000Z,809113,"US","refunded",932
68,2026-01-01 01:48:41.000Z,817022,"UK","paid",9805
69,2026-01-01 01:50:55.000Z,396159,"FR","refunded",9349
70,2026-01-01 01:51:57.000Z,520204,"PL","paid",6107
71,2026-01-01 01:53:15.000Z,338805,"UK","paid",3881
72,2026-01-01 01:55:01.000Z,978954,"UK","paid",8488
